id,name_ja,name_en,type,category
210,つぶらなひとみ,,フェアリー,変化
211,つぼをつく,,ノーマル,変化
212,つららおとし,,こおり,物理
213,つららばり,,こおり,物理
214,つるぎのまい,,ノーマル,変化
215,てだすけ,,ノーマル,変化
216,てっていこうせん,,はがね,特殊
217,てっぺき,,はがね,変化
218,てんしのキッス,,フェアリー,変化
219,であいがしら,,むし,物理
220,デカハンマー,,はがね,物理
221,デコレーション,,フェアリー,変化
222,でんこうせっか,,ノーマル,物理
223,でんじは,,でんき,変化
224,でんじふゆう,,でんき,変化
225,でんじほう,,でんき,特殊
226,トーチカ,,どく,変化
227,とおせんぼう,,ノーマル,変化
228,とおぼえ,,ノーマル,変化
229,とぐろをまく,,どく,変化
230,とける,,どく,変化
231,とっておき,,ノーマル,物理
232,とどめばり,,むし,物理
233,とびかかる,,むし,物理
234,とびつく,,むし,物理
235,とびはねる,,ひこう,物理
236,とびひざげり,,かくとう,物理
237,ともえなげ,,かくとう,物理
238,とんぼがえり,,むし,物理
239,どくづき,,どく,物理
240,どくどく,,どく,変化
241,どくどくのキバ,,どく,物理
242,どくのいと,,どく,変化
243,どくのこな,,どく,変化
244,どくびし,,どく,変化
245,どろかけ,,じめん,特殊
246,どろぼう,,あく,物理
247,なかまづくり,,ノーマル,変化
248,なげつける,,あく,物理
249,なまける,,ノーマル,変化
250,なみだめ,,ノーマル,変化
251,なみのり,,みず,特殊
252,なやみのタネ,,くさ,変化
253,なりきり,,エスパー,変化
254,にほんばれ,,ほのお,変化
255,ねがいごと,,ノーマル,変化
256,ねこだまし,,ノーマル,物理
257,ねごと,,ノーマル,変化
258,ねっさのだいち,,じめん,特殊
259,ねっとう,,みず,特殊
260,ねっぷう,,ほのお,特殊
261,ねばねばネット,,むし,変化
262,ねむりごな,,くさ,変化
263,ねむる,,エスパー,変化
264,ねをはる,,くさ,変化
265,のしかかり,,ノーマル,物理
266,のみこむ,,ノーマル,変化
267,のろい,,ゴースト,変化
268,はいよるいちげき,,むし,物理
269,はかいこうせん,,ノーマル,特殊
270,はがねのつばさ,,はがね,物理
271,はきだす,,ノーマル,特殊
272,ハサミギロチン,,ノーマル,物理
273,はたきおとす,,あく,物理
274,はたく,,ノーマル,物理
275,はどうだん,,かくとう,特殊
276,はなびらのまい,,くさ,特殊
277,はなふぶき,,くさ,物理
278,はねやすめ,,ひこう,変化
279,はめつのひかり,,フェアリー,特殊
280,はやてがえし,,かくとう,物理
281,はらだいこ,,ノーマル,変化
282,バークアウト,,あく,特殊
283,ばかぢから,,かくとう,物理
284,ばくおんぱ,,ノーマル,特殊
285,ばくれつパンチ,,かくとう,物理
286,バトンタッチ,,ノーマル,変化
287,バリアーラッシュ,,エスパー,物理
288,バレットパンチ,,はがね,物理
289,パラボラチャージ,,でんき,特殊
290,パワーウィップ,,くさ,物理
291,パワーシェア,,エスパー,変化
292,パワージェム,,いわ,特殊
293,パワースワップ,,エスパー,変化
294,パワートリック,,エスパー,変化
295,ヒートスタンプ,,ほのお,物理
296,ひかりのかべ,,エスパー,変化
297,ひけん・ちえなみ,,あく,物理
298,ひっくりかえす,,あく,変化
299,ひゃっきやこう,,ゴースト,特殊
300,ひやみず,,みず,特殊
301,ひょうざんおろし,,こおり,物理
302,ビルドアップ,,かくとう,変化
303,ファストガード,,かくとう,変化
304,ふいうち,,あく,物理
305,ふういん,,エスパー,変化
306,フェアリーロック,,フェアリー,変化
307,フェイタルクロー,,どく,物理
308,フェイント,,ノーマル,物理
309,フェザーダンス,,ひこう,変化
310,ふきとばし,,ノーマル,変化
311,ふくろだたき,,あく,物理
312,ふしょくガス,,どく,変化
313,ふぶき,,こおり,特殊
314,フライングプレス,,かくとう,物理
315,フラフラダンス,,ノーマル,変化
316,フリーズドライ,,こおり,特殊
317,フレアソング,,ほのお,特殊
318,フレアドライブ,,ほのお,物理
319,ブラストバーン,,ほのお,特殊
320,ブレイククロー,,ノーマル,物理
321,ブレイズキック,,ほのお,物理
322,ブレイブバード,,ひこう,物理
323,ぶんまわす,,あく,物理
324,ヘドロウェーブ,,どく,特殊
325,ヘドロばくだん,,どく,特殊
326,ヘビーボンバー,,はがね,物理
327,ベノムショック,,どく,特殊
328,ボディプレス,,かくとう,物理
329,ボルテッカー,,でんき,物理
330,ボルトチェンジ,,でんき,特殊
331,ボーンラッシュ,,じめん,物理
332,ポルターガイスト,,ゴースト,物理
333,マジカルシャイン,,フェアリー,特殊
334,マジカルフレイム,,ほのお,特殊
335,マジックルーム,,エスパー,変化
336,マッドショット,,じめん,特殊
337,マッハパンチ,,かくとう,物理
338,まとわりつく,,むし,特殊
339,まねっこ,,ノーマル,変化
340,まほうのこな,,エスパー,変化
341,まもる,,ノーマル,変化
342,みがわり,,ノーマル,変化
343,みきり,,かくとう,変化
344,ミサイルばり,,むし,物理
345,ミストバースト,,フェアリー,特殊
346,ミストフィールド,,フェアリー,変化
347,みずあめボム,,くさ,特殊
348,みずしゅりけん,,みず,特殊
349,みずのはどう,,みず,特殊
350,みずびたし,,みず,変化
351,みちづれ,,ゴースト,変化
352,ミラーコート,,エスパー,特殊
353,ミラータイプ,,ノーマル,変化
354,みらいよち,,エスパー,特殊
355,みわくのボイス,,フェアリー,特殊
356,ムーンフォース,,フェアリー,特殊
357,むしくい,,むし,物理
358,むしのさざめき,,むし,特殊
359,むしのていこう,,むし,特殊
360,むねんのつるぎ,,ほのお,物理
361,めいそう,,エスパー,変化
362,メガトンキック,,ノーマル,物理
363,メガホーン,,むし,物理
364,メタルバースト,,はがね,物理
365,メテオビーム,,いわ,特殊
366,メロメロ,,ノーマル,変化
367,もえつきる,,ほのお,特殊
368,もりののろい,,くさ,変化
369,もろはのずつき,,いわ,物理
370,やけっぱち,,ほのお,物理
371,やどりぎのタネ,,くさ,変化
372,やまあらし,,かくとう,物理
373,ゆきげしき,,こおり,変化
374,ゆきなだれ,,こおり,物理
375,ライジングボルト,,でんき,特殊
376,ラスターカノン,,はがね,特殊
377,リーフストーム,,くさ,特殊
378,リーフブレード,,くさ,物理
379,リサイクル,,ノーマル,変化
380,リフレクター,,エスパー,変化
381,りゅうせいぐん,,ドラゴン,特殊
382,りゅうのはどう,,ドラゴン,特殊
383,りゅうのまい,,ドラゴン,変化
384,りんごさん,,くさ,特殊
385,りんしょう,,ノーマル,特殊
386,ルミナコリジョン,,エスパー,特殊
387,レイジングブル,,ノーマル,物理
388,ロックオン,,ノーマル,変化
389,ロックカット,,いわ,変化
390,ロックブラスト,,いわ,物理
391,ローキック,,かくとう,物理
392,ワイドガード,,いわ,変化
393,ワイドフォース,,エスパー,特殊
394,ワイドブレイカー,,ドラゴン,物理
395,ワイルドボルト,,でんき,物理
396,わたほうし,,くさ,変化
397,わるあがき,,ノーマル,物理
398,わるだくみ,,あく,変化
399,ワンダールーム,,エスパー,変化
400,１０まんばりき,,じめん,物理
401,１０まんボルト,,でんき,特殊
402,３ぼんのや,,かくとう,物理
403,ＤＤラリアット,,あく,物理
404,Ｇのちから,,くさ,物理
