id,name_ja,name_en,is_megastone
106,カイロスナイト,Pinsirite,true
107,タイレーツナイト,Falinksite,true
108,ペンドラナイト,Scolipedite,true
109,サーナイトナイト,Gardevoirite,true
110,エルレイドナイト,Galladite,true
111,エアームドナイト,Skarmoryite,true
112,ピクシナイト,Clefableite,true
113,ドラミドナイト,Dragalgeite,true
114,ズルズキナイト,Scraftyite,true
115,カエンジシナイト,Pyroarite,true
116,カラマネナイト,Malamarite,true
117,ドリュウズナイト,Excadrillite,true
118,シャンデラナイト,Chandelureite,true
119,ボスゴドラナイト,Aggronite,true
120,メタグロスナイト,Metagrossite,true
121,ゲンガナイト,Gengarite,true
122,チャーレムナイト,Medichamite,true
123,ユキノオナイト,Abomasnowite,true
124,ハッサムナイト,Scizorite,true
125,ガブリアスナイト,Garchompite,true
126,ハガネールナイト,Steelixite,true
127,ガルーラナイト,Kangaskhanite,true
128,リザードナイトX,Charizardite X,true
129,リザードナイトY,Charizardite Y,true
130,カメックスナイト,Blastoisinite,true
131,フシギバナイト,Venusaurite,true
132,ゲッコウガナイト,Greninjite,true
133,マフォクシナイト,Delphoxite,true
134,ブリガロナイト,Chesnaughtite,true
135,フラエッテナイト,Floetteite,true
136,ライチュウナイトX,Raichuite X,true
137,ライチュウナイトY,Raichuite Y,true
138,ジュカインナイト,Sceptilite,true
139,ラグラージナイト,Swampertite,true
140,バシャーモナイト,Blazikenite,true
141,ムクホークナイト,Staraptorite,true
142,チリーンナイト,Chimechoite,true
143,ケケンカニナイト,Crabominableite,true
144,スコヴィラナイト,Scovillainite,true
145,ゴルーグナイト,Golurkite,true
146,ニャオニクスナイト,Meowsticite,true
147,キラフロルナイト,Glimmoraite,true
