id,name_ja,name_en
276,メガソーラー,Mega Solar
277,メガランチャー,Mega Launcher
278,メタルプロテクト,Full Metal Body
279,メロメロボディ,Cute Charm
280,めんえき,Immunity
281,もうか,Blaze
282,ものひろい,Pickup
283,もふもふ,Fluffy
284,もらいび,Flash Fire
285,やるき,Vital Spirit
286,ゆうばく,Aftermath
287,ゆきかき,Slush Rush
288,ゆきがくれ,Snow Cloak
289,ゆきふらし,Snow Warning
290,ようりょくそ,Chlorophyll
291,ヨガパワー,Pure Power
292,よちむ,Forewarn
293,ライトメタル,Light Metal
294,リーフガード,Leaf Guard
295,リベロ,Libero
296,リミットシールド,Shields Down
297,りゅうのあぎと,Dragon's Maw
298,りんぷん,Shield Dust
299,レシーバー,Receiver
300,わざわいのうつわ,Vessel of Ruin
301,わざわいのおふだ,Tablets of Ruin
302,わざわいのたま,Beads of Ruin
303,わざわいのつるぎ,Sword of Ruin
304,わたげ,Cotton Down
305,わるいてぐせ,Pickpocket
